punto;lat;long;planta;fruto;fecha_colecta;fecha _caracterización;peso_g;largo_mm;diam_mm;largo_apice_diam;punta;color;sanidad;forma_caro;pedunculo;arrugas;x1;x2;x3;x_media;y1;y2;y3;y_media;z1;z2;z3;z_media;a1;a2;a3;b1;b2;b3;l1;l2;l3;a_media;b_media;l_media;chro1;chro2;chro3;chroma_media;hue1;hue2;hue3;hue_media;esp_per;brix;ph;huesos;n_ huesos;color_semilla;n_loc
722;;;1;3;21/7/2023;25/7/2023;44,7565;67,58;36,96;38,17;3;6;Buena;4;si;si;11,48;11,68;10,57;11,24;7,82;8,00;7,61;7,81;5,41;5,55;5,76;5,57;31,27;31,16;26,24;13,12;13,21;11,01;16,44;16,81;16;29,56;12,45;16,42;33,92;33,84;28,46;32,07;22,77;22,98;22,75;22,83;4,78;10;3,93;si;5;2;2
722;;;1;1;21/7/2023;25/7/2023;51,1035;69,94;39,33;40,6;5;6;Muy Buena;8;si;no;11,89;12,4;11,73;12,01;8,29;8,57;8,20;8,35;6,07;6,13;6,15;6,12;30,16;31,45;29,77;12,24;12,99;11,63;17,4;17,96;17,22;30,46;12,29;17,52;32,55;34,02;31,96;32,85;22,1;22,44;21,34;21,96;5,4;10,9;3,49;si;6;2;2
722;;;1;2;21/7/2023;25/7/2023;29,8132;63,54;31,28;35,85;2;6;Buena;4;si;no;12,25;13,72;11,87;12,61;8,13;9,14;7,95;8,41;5,59;5,92;5,50;5,67;34,17;35,88;33;13,52;15,69;13,23;17,08;19,07;16,71;34,35;14,15;17,62;36,75;39,16;35,55;37,16;21,58;23,62;21,85;22,35;4,23;10,2;3,75;si;6;2;2
722;;;1;4;21/7/2023;25/7/2023;36,4916;63,4;35,05;35,25;5;6;Buena;4;si;no;11,59;13,39;14,67;13,22;7,92;9,03;10,19;9,05;5,44;5,84;5,58;5,62;31,20;34,53;33,8;13,36;15,63;20,37;16,65;18,86;21,03;33,18;16,45;18,84;33,94;37,9;39,47;37,1;23,18;24,35;31,08;26,2;5,15;10,1;3,86;;;2;2
725;;;2;4;21/7/2023;25/7/2023;35,8839;60,42;35,19;39,01;4;6;Regular;5;si;no;13,3;14,43;10,55;12,76;9,03;9,63;7,71;8,79;6,40;6,32;5,99;6,24;33,91;36,66;25,18;13,54;15,8;10,49;18,86;20;16,21;31,92;13,28;18,35;36,51;39,92;27,28;34,57;21,77;23,31;22,62;22,57;4,99;10;3,36;no;0;2;2
725;;;2;1;21/7/2023;25/7/2023;37,591;63,82;34,23;34,19;2;6;Buena;4;si;no;17,06;17,67;14,82;16,52;11,64;11,90;9,92;11,15;7,13;6,98;6,76;6,96;37,99;39,79;36,92;19,1;20,37;15,14;23,58;24,02;20,54;38,23;18,2;22,71;42,52;44,7;39,9;42,37;26,69;27,11;22,3;25,37;5,94;10;3,17;si;3;2;2
725;;;2;3;21/7/2023;25/7/2023;33,0204;60,02;34,34;35,96;5;6;Regular;4;si;no;13,06;14,69;13,79;13,85;8,72;9,81;9,07;9,20;5,90;6,13;6,00;6,01;34,84;36,94;36,94;14,36;17,08;15,16;18,25;20,33;18,94;36,24;15,53;19,17;37,68;40,7;39,93;39,44;22,4;24,81;22,31;23,17;6,24;8,8;3,49;si;4;2;2
725;;;2;2;21/7/2023;25/7/2023;33,8093;60,16;34,36;38,61;1;6;Regular;4;si;no;14,78;14,36;13,43;14,19;9,84;9,66;9,05;9,52;5,89;5,89;5,81;5,86;37,29;35,95;34,64;18,07;17,5;15,81;20,39;20,05;18,9;35,96;17,13;19,78;41,44;39,99;38,08;39,84;25,86;25,95;24,53;25,45;6,07;8,6;3,86;si;4;2;2
725;;;2;5;21/7/2023;25/7/2023;27,523;55,02;31,78;35,93;2;6;Buena;4;si;no;10,55;15,33;12,41;12,76;7,71;10,90;8,33;8,98;5,99;6,51;5,37;5,96;25,18;32,64;33,58;10,49;19,08;15,08;16,21;22,3;17,48;30,47;14,88;18,66;27,28;37,8;36,81;33,97;22,62;30,3;24,18;25,7;7,09;8,4;3,52;si;4;2;2
726;;;3;2;21/7/2023;25/7/2023;34,8262;64,43;32,79;38,06;2;5;Buena;4;si;no;14,36;13,44;13,57;13,79;10,02;9,10;9,23;9,45;6,50;6,37;6,32;6,40;33,09;34,3;34,11;16,39;13,89;14,5;20,72;18,99;19,24;33,83;14,92;19,65;36,92;37;37,07;37;26,35;22,04;23,02;23,81;4,92;11;3,38;si;5;2;2
